snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2022-08-22,2022-08-19,263600,덕우전자,exact_source_row,,KOSDAQ,2022-08-19,3,7560,7480,7480,7290,7290,142618,1050997930,116131959900,15930310,-1.058201,-1.058201,-3.571429,-3.571429,0.895262,-4.078947,-2.147651,6.578947,13.198758,970,606,1377,2189,1882,9820,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263690,디알젬,exact_source_row,,KOSDAQ,2022-08-19,3,9730,9690,9750,9560,9670,8432,81402680,109518648700,11325610,-0.4111,0.20555,-1.747174,-0.61665,0.074451,-2.323232,-2.323232,0.729167,1.044932,2165,2222,1449,962,512,12600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263700,케어랩스,exact_source_row,,KOSDAQ,2022-08-19,3,6360,6250,6310,6130,6150,59495,367584930,111337472100,18103654,-1.72956,-0.786164,-3.616352,-3.301887,0.328635,-6.676783,-8.888889,-10.087719,-9.558824,1545,1347,1424,2004,1778,8260,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263720,디앤씨미디어,exact_source_row,,KOSDAQ,2022-08-19,3,21250,20900,21200,20500,20600,16903,350466600,252867286600,12275111,-1.647059,-0.235294,-3.529412,-3.058824,0.137701,-3.286385,-10.043668,-14.166667,-11.397849,1584,1958,778,1494,1668,27600,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263750,펄어비스,exact_source_row,,KOSDAQ,2022-08-19,3,57800,56900,57900,56600,57100,226951,12943792800,3667867320500,64235855,-1.557093,0.17301,-2.076125,-1.211073,0.353309,-1.039861,0.528169,-4.355109,9.596929,181,1295,92,981,749,75100,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263770,유에스티,exact_source_row,,KOSDAQ,2022-08-19,3,3580,3505,3505,3385,3410,52833,181083065,80817586520,23700172,-2.094972,-2.094972,-5.446927,-4.748603,0.222922,1.186944,4.122137,4.601227,10.355987,1917,1670,1760,2411,2239,4650,false,false,false,false,verified_normal_day,0,0,1,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263800,데이타솔루션,exact_source_row,,KOSDAQ,2022-08-19,3,5580,5520,5520,5230,5230,157278,836262400,84744723400,16203580,-1.075269,-1.075269,-6.272401,-6.272401,0.970637,-7.104796,-7.922535,-8.885017,-3.505535,1075,558,1712,2202,2374,7250,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263810,상신전자,exact_source_row,,KOSDAQ,2022-08-19,3,3580,3780,4100,3275,3335,1266997,4697644190,47506134530,14244718,5.586592,14.52514,-8.519553,-6.843575,8.894504,-4.985755,-4.714286,-4.714286,-3.89049,413,70,2142,27,2392,4650,false,false,false,false,verified_normal_day,0,0,1,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,263860,지니언스,exact_source_row,,KOSDAQ,2022-08-19,3,9240,9190,9300,8940,9080,26394,240507200,85756968000,9444600,-0.541126,0.649351,-3.246753,-1.731602,0.279461,2.48307,1.339286,-0.981461,10.596833,1788,1500,1702,702,996,12000,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,264450,유비쿼스,exact_source_row,,KOSDAQ,2022-08-19,3,17800,17650,17650,16950,16950,47917,821978200,173664716700,10245706,-0.842697,-0.842697,-4.775281,-4.775281,0.467679,-4.507042,-3.418803,-5.307263,7.278481,1085,1059,1035,2047,2242,23100,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,264660,씨앤지하이테크,exact_source_row,,KOSDAQ,2022-08-19,3,12050,12000,12000,11750,11900,8208,97225600,100989849800,8486542,-0.414938,-0.414938,-2.489627,-1.244813,0.096718,-2.057613,-2.057613,-1.652893,0,2124,2140,1521,1679,772,15650,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,264850,이랜시스,exact_source_row,,KOSDAQ,2022-08-19,3,3170,3200,3200,3060,3060,140950,438579060,88818556320,29025672,0.946372,0.946372,-3.470032,-3.470032,0.485605,-3.164557,-7.132018,-0.970874,4.081633,1452,1038,1667,568,1846,4120,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
