code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
000550,삼덕제지,1996-07-30,1997-06-27,26,300,KOSDAQ,2,2,49500,14256000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000550.json
000570,금호건설,1995-05-02,1999-02-18,1105,1125,KOSPI,5,5,3440,100541967040,inactive_or_delisted_like,atlas/symbol_profiles/000/000570.json
000575,금호건설(1우),1995-05-02,1999-02-18,1102,1125,KOSPI,5,5,2300,12167000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000575.json
000590,CS홀딩스,1995-05-02,2026-06-22,7565,7846,KOSPI,32,32,69600,80351947200,active_like,atlas/symbol_profiles/000/000590.json
000600,삼화실업,1996-10-09,1996-10-09,1,147,KOSDAQ,1,1,10100,1636200000,inactive_or_delisted_like,atlas/symbol_profiles/000/000600.json
000610,제일화재,1995-05-02,2009-12-23,3789,3805,KOSPI,15,16,7400,198130367600,inactive_or_delisted_like,atlas/symbol_profiles/000/000610.json
000640,동아쏘시오홀딩스,1995-05-02,2026-06-22,7805,7846,KOSPI,32,32,78900,531196380300,active_like,atlas/symbol_profiles/000/000640.json
000650,천일고속,1995-05-09,2026-06-22,7412,7846,KOSPI,32,32,178900,255687458000,active_like,atlas/symbol_profiles/000/000650.json
000660,SK하이닉스,1997-01-03,2026-06-22,7344,7358,KOSPI,30,31,2919000,2080378203435000,active_like,atlas/symbol_profiles/000/000660.json
000661,현대전자(1신),1996-12-26,1996-12-27,2,2,KOSPI,1,1,20000,200000000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000661.json
000670,영풍,1995-05-04,2026-06-22,6785,7846,KOSPI,32,32,42300,778771890900,active_like,atlas/symbol_profiles/000/000670.json
000680,LS네트웍스,1995-05-02,2026-06-22,7176,9875,KOSPI,31,32,14180,1935570000000,active_like,atlas/symbol_profiles/000/000680.json
000681,국제상사(1신),1995-10-21,1995-12-27,39,57,KOSPI,1,1,6800,3271364400,inactive_or_delisted_like,atlas/symbol_profiles/000/000681.json
000682,국제상사(2신),1995-12-21,1995-12-27,5,5,KOSPI,1,1,6700,11982507800,inactive_or_delisted_like,atlas/symbol_profiles/000/000682.json
000685,LS네트웍스우,1999-07-16,2014-07-14,2363,4918,KOSPI,14,20,2750,42031000,inactive_or_delisted_like,atlas/symbol_profiles/000/000685.json
000687,LS네트웍스전환상환2우B,2010-12-01,2015-11-10,953,1234,KOSPI,6,6,3835,3193922225,inactive_or_delisted_like,atlas/symbol_profiles/000/000687.json
000700,유수홀딩스,1995-05-02,2026-06-22,7792,7846,KOSPI,32,32,5560,144792474720,active_like,atlas/symbol_profiles/000/000700.json
000720,현대건설,1995-05-02,2026-06-22,7821,7846,KOSPI,32,32,127800,14231266767000,active_like,atlas/symbol_profiles/000/000720.json
000721,현대건설(1신),1995-10-14,1996-12-27,129,129,KOSPI,2,2,18600,67450537800,inactive_or_delisted_like,atlas/symbol_profiles/000/000721.json
000725,현대건설우,1995-05-02,2026-06-22,7777,7846,KOSPI,32,32,54500,57480768500,active_like,atlas/symbol_profiles/000/000725.json
000726,현대건설(1우1신),1996-03-30,1996-12-27,0,221,KOSPI,0,1,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000726.json
000730,서울교통,1995-05-02,1995-05-24,18,19,KOSPI,1,1,1300,98540000,inactive_or_delisted_like,atlas/symbol_profiles/000/000730.json
000736,하나은행(4우B),2000-05-29,2000-12-13,0,588,KOSPI,0,1,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000736.json
000760,이화산업,1995-05-02,2026-06-22,7785,7846,KOSPI,32,32,11530,32284000000,active_like,atlas/symbol_profiles/000/000760.json
000781,코리아써키트2우B,2013-06-17,2026-06-22,3174,3193,KOSPI,14,14,26150,20493728850,active_like,atlas/symbol_profiles/000/000781.json
000790,C&상선,1995-05-02,2009-05-12,3512,3629,KOSPI,15,15,20,4001748460,inactive_or_delisted_like,atlas/symbol_profiles/000/000790.json
000791,세양선박(1신),1996-09-09,1996-12-27,89,91,KOSPI,1,1,10000,8121950000,inactive_or_delisted_like,atlas/symbol_profiles/000/000791.json
000794,세양선박(1전1신),1995-12-21,1996-12-27,0,10,KOSPI,0,2,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000794.json
000800,경남기업,1995-05-02,2015-04-14,5041,5102,KOSPI,21,21,113,4045753464,inactive_or_delisted_like,atlas/symbol_profiles/000/000800.json
000801,경남기업(1신),1995-05-02,1996-12-27,430,435,KOSPI,2,2,6700,32556660100,inactive_or_delisted_like,atlas/symbol_profiles/000/000801.json
000805,경남기업(1우B),2000-02-23,2006-04-27,0,1295,KOSPI,0,7,,,inactive_or_delisted_like,atlas/symbol_profiles/000/000805.json
000806,대덕1우,2018-12-19,2026-06-22,1826,1840,KOSPI,9,9,12390,15021103230,active_like,atlas/symbol_profiles/000/000806.json
000810,삼성화재,1995-05-02,2026-06-22,7844,7846,KOSPI,32,32,685000,30583519005000,active_like,atlas/symbol_profiles/000/000810.json
000815,삼성화재우,1995-05-02,2026-06-22,7754,7846,KOSPI,32,32,435500,1309557210000,active_like,atlas/symbol_profiles/000/000815.json
000830,삼성물산,1995-05-02,2015-08-26,5194,5207,KOSPI,21,21,48100,7514074448400,inactive_or_delisted_like,atlas/symbol_profiles/000/000830.json
000831,삼성물산(1신),1995-05-02,1996-12-27,323,323,KOSPI,2,2,9900,67320000000,inactive_or_delisted_like,atlas/symbol_profiles/000/000831.json
000835,삼성물산우,1995-05-02,2015-08-26,5193,5207,KOSPI,21,21,36950,171767728350,inactive_or_delisted_like,atlas/symbol_profiles/000/000835.json
000840,한국벨트,1995-05-02,2000-06-29,1243,1443,KOSPI,6,6,505,236323335,inactive_or_delisted_like,atlas/symbol_profiles/000/000840.json
000850,화천기공,1999-11-18,2026-06-22,6548,6552,KOSPI,28,28,32550,71610000000,active_like,atlas/symbol_profiles/000/000850.json
