code,name,first_date,last_date
001200,서울증권,1995-05-02,2008-01-24
001200,유진증권,2008-01-25,2008-01-25
001200,유진투자증권,2008-01-28,2026-02-20
001210,금호전기,1995-05-02,2026-02-20
001211,금호전기(1신),1995-12-16,1995-12-27
001230,동국제강,1995-05-02,2023-06-15
001230,동국홀딩스,2023-06-16,2026-02-20
001250,GS글로벌,2009-08-10,2026-02-20
001250,쌍    용,1996-11-25,2000-04-18
001250,쌍용,1995-05-02,2009-08-07
001260,남광토건,1995-05-02,2026-02-20
001265,남광토건(1우B),1999-05-20,2007-06-25
001270,부국증권,1995-05-02,2026-02-20
001275,부국증권(1우 ),2001-06-28,2001-07-04
001275,부국증권(1우),1995-05-02,2006-12-19
001275,부국증권(1우B),2006-12-20,2008-08-01
001275,부국증권우,2008-08-04,2026-02-20
001280,우리증권,2002-06-27,2004-06-23
001280,한빛증권,1999-03-26,2002-06-26
001280,한일증권,1995-05-02,1999-03-25
001290,골든브릿지증권,2007-10-10,2019-04-15
001290,대유리젠트증권,1998-06-30,2000-08-17
001290,대유증권,1995-05-02,1998-06-29
001290,리젠트증권,2000-08-18,2002-02-05
001290,브릿지증권,2002-02-06,2007-10-09
001290,상상인증권,2019-04-16,2026-02-20
001295,대유리젠트증권(1우),1998-06-30,2000-08-04
001295,대유증권(1우),1995-05-02,1998-06-29
001300,제일모직,1995-05-02,2014-07-14
001301,제일모직(1신),1995-05-26,1995-12-27
001310,풍림산업,1995-05-02,2012-05-17
001311,풍림산업(1신),1995-12-09,1995-12-27
001340,PKC,2025-04-21,2026-02-20
001340,백광산업,1995-05-02,2025-04-18
001350,대한모방,1995-05-02,2000-06-29
001360,삼성제약,1995-05-02,2026-02-20
001361,삼성제약(1신),1995-05-30,1995-12-27
001362,삼성제약(2신),1995-07-03,1995-12-27
001370,FNC코오롱,2001-12-24,2002-01-09
001370,FnC코오롱,2002-01-10,2009-08-14
001370,코오롱상사,1995-05-02,2001-12-21
001371,코오롱상사(1신),1995-05-02,1996-12-27
001375,FNC코오롱(1우),2001-12-24,2002-01-09
001375,FnC코오롱(1우),2002-01-10,2006-12-19
001375,FnC코오롱(1우B),2006-12-20,2008-08-01
001375,FnC코오롱우,2008-08-04,2009-08-14
001375,코오롱상사(1우 ),2001-06-28,2001-07-04
001375,코오롱상사(1우),1995-05-02,2001-12-21
001380,SG글로벌,2008-07-31,2026-02-20
001380,SG충남방적,2010-05-13,2016-04-19
001380,SG충방,2016-04-20,2021-04-14
001380,에스지글로벌,2008-04-15,2008-07-30
001380,충남방적,1995-05-02,2008-04-14
001381,충남방적(1신),1995-11-21,1995-12-27
001385,SG글로벌(1우B),2008-07-31,2008-08-01
001385,SG글로벌우,2008-08-04,2010-05-12
001385,SG충남방적우,2010-05-13,2013-12-06
001385,에스지글로벌(1우B),2008-04-15,2008-07-30
001385,충남방적(1우 ),2001-06-28,2001-07-04
001385,충남방적(1우),1995-05-02,2006-12-19
001385,충남방적(1우B),2006-12-20,2008-04-14
001390,KG케미칼,2003-09-26,2026-02-20
001390,경기화학,1995-05-02,2003-09-25
001391,경기화학(1신),1995-11-15,1995-12-27
001400,동산씨앤지,1996-11-25,2001-04-23
001400,동산씨엔지,1995-05-02,1996-11-22
001420,태원물산,1995-05-02,2026-02-20
001430,기아특수강,1995-05-02,2004-03-29
001430,세아베스틸,2004-03-30,2022-04-14
001430,세아베스틸지주,2022-04-15,2026-02-20
001431,기아특강(1신),1995-07-28,1995-12-27
001431,기아특수강(1신),1996-03-29,1996-12-27
001440,대한전선,1995-05-02,2026-02-20
001450,현대해상,1995-05-02,2026-02-20
001460,BYC,2000-06-16,2026-02-20
001460,백양,1995-05-02,1996-04-22
001460,비와이씨,1996-04-23,2000-06-15
001465,BYC(1우 ),2001-06-28,2001-07-04
001465,BYC(1우),2000-06-16,2006-12-19
001465,BYC(1우B),2006-12-20,2008-08-01
001465,BYC우,2008-08-04,2026-02-20
001465,백양(1우),1995-05-02,1996-04-22
001465,비와이씨(1우),1996-04-23,2000-06-15
001470,삼부토건,1995-05-02,2026-02-20
001471,삼부토건(1신),1995-06-15,1995-12-27
001490,천지산업,1995-05-02,2004-10-21
001500,HMC투자증권,2008-06-09,2017-07-13
001500,신흥증권,1995-05-02,2008-04-04
001500,현대차IB증권,2008-04-07,2008-06-05
001500,현대차증권,2018-07-13,2026-02-20
001500,현대차투자증권,2017-07-14,2018-07-12
001501,신흥증권(1신),1996-09-24,1997-03-28
001510,SK증권,1998-01-21,2026-02-20
001510,선경증권,1995-05-02,1998-01-20
001515,SK증권(1우 ),2001-06-28,2001-07-04
001515,SK증권(1우),1998-01-21,2006-12-19
001515,SK증권(1우B),2006-12-20,2008-08-01
001515,SK증권우,2008-08-04,2026-02-20
001515,선경증권(1우),1995-05-02,1998-01-20
001520,동양,2011-08-09,2026-02-20
001520,동양메이저,2000-07-03,2011-08-08
001520,동양시멘트,1995-05-02,2000-06-30
001525,동양메이저(1우 ),2001-06-28,2001-07-04
001525,동양메이저(1우),2000-07-03,2006-12-19
001525,동양메이저(1우B),2006-12-20,2008-08-01
001525,동양메이저우,2008-08-04,2011-08-08
001525,동양시멘트(1우),1995-05-02,2000-06-30
001525,동양우,2011-08-09,2026-02-20
001527,동양2우B,2011-08-09,2026-02-20
001527,동양메이저(2우B),2000-07-03,2008-08-01
001527,동양메이저2우B,2008-08-04,2011-08-08
001527,동양시멘트(2우B),1999-01-28,2000-06-30
001529,동양3우B,2011-08-09,2022-07-14
001529,동양메이저(3우B),2007-08-03,2008-08-01
001529,동양메이저3우B,2008-08-04,2011-08-08
001530,DI동일,2019-04-24,2026-02-20
001530,동일방직,1995-05-02,2019-04-23
001540,안국약품,2000-06-15,2026-02-20
001550,조    비,1996-11-25,2000-04-18
001550,조비,1995-05-02,2026-02-20
001551,조비(1신),1995-05-02,1995-06-28
