code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
014285,금강공업우,1995-05-02,2026-06-22,7316,7846,KOSPI,32,32,5830,3438971250,active_like,atlas/symbol_profiles/014/014285.json
014440,영보화학,1996-07-29,2026-06-22,7203,7503,KOSDAQ|KOSPI,31,31,4485,89700000000,active_like,atlas/symbol_profiles/014/014440.json
014470,부방,1996-07-26,2026-06-22,6616,7503,KOSDAQ,31,31,1055,63355134300,active_like,atlas/symbol_profiles/014/014470.json
014530,극동유화,1995-05-02,2026-06-22,7831,7846,KOSPI,32,32,3185,111059102700,active_like,atlas/symbol_profiles/014/014530.json
014570,고려제약,2000-12-07,2026-06-22,6288,6295,KOSDAQ,27,27,3300,36300000000,active_like,atlas/symbol_profiles/014/014570.json
014580,태경비케이,1995-05-02,2026-06-22,7819,7846,KOSPI,32,32,3995,110194484500,active_like,atlas/symbol_profiles/014/014580.json
014620,성광벤드,2001-01-11,2026-06-22,6275,6275,KOSDAQ|KOSDAQ GLOBAL,26,26,30500,809999602000,active_like,atlas/symbol_profiles/014/014620.json
014680,한솔케미칼,1995-05-02,2026-06-22,7845,7846,KOSPI,32,32,283500,3122156866500,active_like,atlas/symbol_profiles/014/014680.json
014710,사조씨푸드,2012-06-29,2026-06-22,3432,3432,KOSPI,15,15,7680,132238410240,active_like,atlas/symbol_profiles/014/014710.json
014790,HL D&I,1995-05-03,2026-06-22,7809,7846,KOSPI,32,32,2495,94457209495,active_like,atlas/symbol_profiles/014/014790.json
014820,동원시스템즈,1995-05-02,2026-06-22,7822,7846,KOSPI,32,32,19550,566779563100,active_like,atlas/symbol_profiles/014/014820.json
014825,동원시스템즈우,1995-05-02,2026-06-22,7586,7846,KOSPI,32,32,14170,3742452870,active_like,atlas/symbol_profiles/014/014825.json
014830,유니드,2004-12-03,2026-06-22,5294,5316,KOSPI,23,23,65600,443954560000,active_like,atlas/symbol_profiles/014/014830.json
014910,성문전자,1995-05-02,2026-06-22,7840,7846,KOSPI,32,32,3210,70161794970,active_like,atlas/symbol_profiles/014/014910.json
014915,성문전자우,1995-05-02,2026-06-22,6859,7846,KOSPI,32,32,4870,2922000000,active_like,atlas/symbol_profiles/014/014915.json
014940,오리엔탈정공,2001-12-26,2026-06-22,5852,6039,KOSDAQ,26,26,5380,245186296180,active_like,atlas/symbol_profiles/014/014940.json
014950,삼익제약,2025-10-27,2026-06-22,160,160,KOSDAQ,2,2,8960,89667988480,active_like,atlas/symbol_profiles/014/014950.json
014970,삼륭물산,1996-11-15,2026-06-22,6627,7503,KOSDAQ,31,31,4865,72123625000,active_like,atlas/symbol_profiles/014/014970.json
014990,인디에프,1995-05-02,2026-06-04,7770,7846,KOSPI,32,32,480,36054237600,active_like,atlas/symbol_profiles/014/014990.json
015020,이스타코,1995-05-02,2026-03-13,7734,7846,KOSPI,32,32,464,19883142400,active_like,atlas/symbol_profiles/015/015020.json
015230,대창단조,1995-05-02,2026-06-22,7764,7846,KOSPI,32,32,6000,162861720000,active_like,atlas/symbol_profiles/015/015230.json
015260,에이엔피,1995-05-02,2026-06-22,7767,7846,KOSPI,32,32,538,25348888972,active_like,atlas/symbol_profiles/015/015260.json
015360,INVENI,1996-07-01,2026-06-22,7426,7503,KOSDAQ|KOSPI,31,31,14260,388585000000,active_like,atlas/symbol_profiles/015/015360.json
015590,DKME,1995-05-02,2026-06-22,7463,7846,KOSPI,31,32,2080,111064320640,active_like,atlas/symbol_profiles/015/015590.json
015710,코콤,1997-09-30,2026-06-22,7061,7138,KOSDAQ,30,30,2810,49260705000,active_like,atlas/symbol_profiles/015/015710.json
015750,성우하이텍,1996-07-09,2026-06-22,6781,7503,KOSDAQ,31,31,6600,528000000000,active_like,atlas/symbol_profiles/015/015750.json
015760,한국전력,1995-05-02,2026-06-22,7846,7846,KOSPI,32,32,38000,24394634926000,active_like,atlas/symbol_profiles/015/015760.json
015860,일진홀딩스,1995-05-02,2026-06-22,7809,7846,KOSPI,32,32,6660,328654236780,active_like,atlas/symbol_profiles/015/015860.json
015890,태경산업,1996-05-08,2026-06-22,7526,7626,KOSPI,31,31,4655,136059831250,active_like,atlas/symbol_profiles/015/015890.json
016090,대현,1995-05-02,2026-06-22,7811,7846,KOSPI,32,32,1500,66423465000,active_like,atlas/symbol_profiles/016/016090.json
