code,name,date,prev_trading_date,prev_close,close,prev_stocks,stocks,price_ratio,stocks_ratio,market,reason
003380,제일사료,1996-12-16,1996-12-03,68900,147000,153500,153500,2.1335268505079825,1,KOSDAQ,price_ratio_ge_1.8
003520,영진약품,1996-01-17,1996-01-16,9690,9110,5421286,7000000,0.9401444788441693,1.2912065513606918,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
003561,태평양패션(1신),1996-12-21,1996-12-20,7790,7410,1570430,2100191,0.9512195121951219,1.3373349974210884,KOSPI,stocks_change_ge_20pct
003700,비락,1996-11-12,1996-10-31,17500,37200,600000,600000,2.125714285714286,1,KOSDAQ,price_ratio_ge_1.8
003800,에이스침대,1996-08-09,1996-07-27,20100,28500,202000,808000,1.4179104477611941,4,KOSDAQ,stocks_change_ge_20pct
003800,에이스침대,1996-12-27,1996-12-26,25000,25000,808000,1780000,1,2.202970297029703,KOSDAQ,stocks_change_ge_20pct
003930,부흥,1996-01-03,1995-12-27,7640,7300,3176751,4076751,0.9554973821989529,1.2833083235041085,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
003940,삼양제넥스,1996-06-28,1996-06-27,69500,64800,1897903,2379554,0.9323741007194245,1.2537806199789978,KOSPI,stocks_change_ge_20pct;price_inverse_to_stocks_ratio
003945,삼양제넥스(1우),1996-04-22,1996-04-20,28500,29700,201366,249376,1.0421052631578946,1.2384215806044714,KOSPI,stocks_change_ge_20pct
004000,삼성정밀화학,1996-01-03,1995-12-27,53300,52900,2002600,3003900,0.9924953095684803,1.5,KOSPI,stocks_change_ge_20pct
